Disease,Crop,Disease_Name,Symptoms,Solution
Apple___Apple_scab,Apple,Apple scab,Dark lesions on leaves and fruit.,Use fungicides like captan. Prune to increase airflow.
Apple___Black_rot,Apple,Black rot,"Fruits rot and turn black, leaf lesions appear.",Prune infected branches. Apply fungicides.
Apple___Cedar_apple_rust,Apple,Cedar apple rust,Orange spots on leaves.,Remove nearby junipers. Use myclobutanil.
Apple___healthy,Apple,Healthy,No symptoms.,No treatment needed.
Blueberry___healthy,Blueberry,Healthy,No symptoms.,No treatment needed.
Cherry_(including_sour)___Powdery_mildew,Cherry,Powdery mildew,White powdery spots on leaves.,Apply sulfur or potassium bicarbonate sprays.
Cherry_(including_sour)___healthy,Cherry,Healthy,No symptoms.,No treatment needed.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn,Gray leaf spot,Rectangular lesions on lower leaves.,Use resistant hybrids. Apply fungicides.
Corn_(maize)___Common_rust_,Corn,Common rust,Reddish-brown pustules on leaves.,Use resistant varieties. Apply fungicide.
Corn_(maize)___Northern_Leaf_Blight,Corn,Northern Leaf Blight,Cigar-shaped lesions on leaves.,Use resistant hybrids. Crop rotation.
Corn_(maize)___healthy,Corn,Healthy,No symptoms.,No treatment needed.
Grape___Black_rot,Grape,Black rot,Dark circular spots on leaves and fruit.,Prune infected vines. Use fungicides.
Grape___Esca_(Black_Measles),Grape,Esca (Black Measles),"Dead areas on leaves, black spotting on fruit.",Remove infected vines. Avoid wounding.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf blight,Brown angular lesions on leaves.,Use fungicide sprays. Improve air circulation.
Grape___healthy,Grape,Healthy,No symptoms.,No treatment needed.
Orange___Haunglongbing_(Citrus_greening),Orange,Citrus greening,"Yellowing leaves, misshapen fruit.",Remove infected trees. Control psyllid vectors.
Peach___Bacterial_spot,Peach,Bacterial spot,"Dark, water-soaked lesions on leaves.",Use copper-based bactericides. Prune affected areas.
Peach___healthy,Peach,Healthy,No symptoms.,No treatment needed.
"Pepper,_bell___Bacterial_spot",Bell Pepper,Bacterial spot,Small dark spots on leaves and fruit.,Apply copper-based sprays. Use disease-free seeds.
"Pepper,_bell___healthy",Bell Pepper,Healthy,No symptoms.,No treatment needed.
Potato___Early_blight,Potato,Early blight,Dark concentric spots on lower leaves.,Apply mancozeb or chlorothalonil.
Potato___Late_blight,Potato,Late blight,"Brown spots, leaf decay, white mold.",Use copper fungicides. Destroy infected plants.
Potato___healthy,Potato,Healthy,No symptoms.,No treatment needed.
Raspberry___healthy,Raspberry,Healthy,No symptoms.,No treatment needed.
Soybean___healthy,Soybean,Healthy,No symptoms.,No treatment needed.
Squash___Powdery_mildew,Squash,Powdery mildew,White powdery patches on leaves.,Apply neem oil or fungicides.
Strawberry___Leaf_scorch,Strawberry,Leaf scorch,Purple or brown leaf spots.,Remove infected leaves. Apply fungicide.
Strawberry___healthy,Strawberry,Healthy,No symptoms.,No treatment needed.
Tomato___Bacterial_spot,Tomato,Bacterial spot,Dark water-soaked spots on leaves.,Use copper sprays. Avoid wet leaves.
Tomato___Early_blight,Tomato,Early blight,Target-like spots on older leaves.,Use fungicides like chlorothalonil.
Tomato___Late_blight,Tomato,Late blight,"Brown leaf lesions, white mold.",Copper fungicides. Remove infected plants.
Tomato___Leaf_Mold,Tomato,Leaf Mold,Yellow spots with mold on undersides.,Ensure airflow. Apply fungicide.
Tomato___Septoria_leaf_spot,Tomato,Septoria leaf spot,Small circular spots with gray centers.,Remove lower leaves. Use fungicides.
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider mites,"Speckled yellow leaves, fine webbing.",Use miticides or insecticidal soap.
Tomato___Target_Spot,Tomato,Target spot,Spots with concentric rings on leaves.,Apply appropriate fungicides.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Yellow Leaf Curl Virus,Yellowing and curling leaves.,Control whiteflies. Remove infected plants.
Tomato___Tomato_mosaic_virus,Tomato,Mosaic virus,"Mottled leaves, stunted growth.",Remove infected plants. Sanitize tools.
Tomato___healthy,Tomato,Healthy,No symptoms.,No treatment needed.
